Traktors, ZS;30;30;30;40;40;40;50;50;50;60;60;60;70;70;70;80;80;80;90;90;90;100;100;100;110;110;110;120;120;120;130;130;130;140;140;140;150;150;150;160;160;160;170;170;170;180;180;180;150+;;
Gada stundas/vecums;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600;200;400;600
1;65%;60%;56%;65%;60%;56%;65%;60%;56%;65%;60%;56%;65%;60%;56%;69%;68%;68%;69%;68%;68%;69%;68%;68%;69%;68%;68%;69%;68%;68%;69%;68%;68%;69%;68%;68%;69%;67%;66%;69%;67%;66%;69%;67%;66%;69%;67%;66%;69%;67%;66%
2;59%;54%;50%;59%;54%;50%;59%;54%;50%;59%;54%;50%;59%;54%;50%;62%;62%;61%;62%;62%;61%;62%;62%;61%;62%;62%;61%;62%;62%;61%;62%;62%;61%;62%;62%;61%;61%;59%;58%;61%;59%;58%;61%;59%;58%;61%;59%;58%;61%;59%;58%
3;54%;49%;46%;54%;49%;46%;54%;49%;46%;54%;49%;46%;54%;49%;46%;57%;57%;56%;57%;57%;56%;57%;57%;56%;57%;57%;56%;57%;57%;56%;57%;57%;56%;57%;57%;56%;55%;54%;52%;55%;54%;52%;55%;54%;52%;55%;54%;52%;55%;54%;52%
4;51%;46%;43%;51%;46%;43%;51%;46%;43%;51%;46%;43%;51%;46%;43%;53%;53%;52%;53%;53%;52%;53%;53%;52%;53%;53%;52%;53%;53%;52%;53%;53%;52%;53%;53%;52%;51%;49%;48%;51%;49%;48%;51%;49%;48%;51%;49%;48%;51%;49%;48%
5;48%;43%;40%;48%;43%;40%;48%;43%;40%;48%;43%;40%;48%;43%;40%;50%;49%;49%;50%;49%;49%;50%;49%;49%;50%;49%;49%;50%;49%;49%;50%;49%;49%;50%;49%;49%;47%;45%;44%;47%;45%;44%;47%;45%;44%;47%;45%;44%;47%;45%;44%
6;45%;40%;37%;45%;40%;37%;45%;40%;37%;45%;40%;37%;45%;40%;37%;47%;46%;46%;47%;46%;46%;47%;46%;46%;47%;46%;46%;47%;46%;46%;47%;46%;46%;47%;46%;46%;43%;42%;41%;43%;42%;41%;43%;42%;41%;43%;42%;41%;43%;42%;41%
7;42%;38%;35%;42%;38%;35%;42%;38%;35%;42%;38%;35%;42%;38%;35%;44%;44%;43%;44%;44%;43%;44%;44%;43%;44%;44%;43%;44%;44%;43%;44%;44%;43%;44%;44%;43%;40%;39%;38%;40%;39%;38%;40%;39%;38%;40%;39%;38%;40%;39%;38%
8;40%;36%;33%;40%;36%;33%;40%;36%;33%;40%;36%;33%;40%;36%;33%;42%;41%;41%;42%;41%;41%;42%;41%;41%;42%;41%;41%;42%;41%;41%;42%;41%;41%;42%;41%;41%;38%;36%;35%;38%;36%;35%;38%;36%;35%;38%;36%;35%;38%;36%;35%
9;38%;34%;31%;38%;34%;31%;38%;34%;31%;38%;34%;31%;38%;34%;31%;40%;39%;39%;40%;39%;39%;40%;39%;39%;40%;39%;39%;40%;39%;39%;40%;39%;39%;40%;39%;39%;35%;34%;33%;35%;34%;33%;35%;34%;33%;35%;34%;33%;35%;34%;33%
10;36%;32%;30%;36%;32%;30%;36%;32%;30%;36%;32%;30%;36%;32%;30%;38%;37%;37%;38%;37%;37%;38%;37%;37%;38%;37%;37%;38%;37%;37%;38%;37%;37%;38%;37%;37%;33%;32%;31%;33%;32%;31%;33%;32%;31%;33%;32%;31%;33%;32%;31%
11;35%;31%;28%;35%;31%;28%;35%;31%;28%;35%;31%;28%;35%;31%;28%;36%;35%;35%;36%;35%;35%;36%;35%;35%;36%;35%;35%;36%;35%;35%;36%;35%;35%;36%;35%;35%;31%;30%;29%;31%;30%;29%;31%;30%;29%;31%;30%;29%;31%;30%;29%
12;33%;29%;27%;33%;29%;27%;33%;29%;27%;33%;29%;27%;33%;29%;27%;34%;34%;33%;34%;34%;33%;34%;34%;33%;34%;34%;33%;34%;34%;33%;34%;34%;33%;34%;34%;33%;29%;28%;27%;29%;28%;27%;29%;28%;27%;29%;28%;27%;29%;28%;27%
13;32%;28%;25%;32%;28%;25%;32%;28%;25%;32%;28%;25%;32%;28%;25%;33%;32%;32%;33%;32%;32%;33%;32%;32%;33%;32%;32%;33%;32%;32%;33%;32%;32%;33%;32%;32%;27%;26%;25%;27%;26%;25%;27%;26%;25%;27%;26%;25%;27%;26%;25%
14;30%;27%;24%;30%;27%;24%;30%;27%;24%;30%;27%;24%;30%;27%;24%;31%;31%;30%;31%;31%;30%;31%;31%;30%;31%;31%;30%;31%;31%;30%;31%;31%;30%;31%;31%;30%;25%;24%;24%;25%;24%;24%;25%;24%;24%;25%;24%;24%;25%;24%;24%
15;29%;25%;23%;29%;25%;23%;29%;25%;23%;29%;25%;23%;29%;25%;23%;30%;29%;29%;30%;29%;29%;30%;29%;29%;30%;29%;29%;30%;29%;29%;30%;29%;29%;30%;29%;29%;24%;23%;22%;24%;23%;22%;24%;23%;22%;24%;23%;22%;24%;23%;22%
16;28%;24%;22%;28%;24%;22%;28%;24%;22%;28%;24%;22%;28%;24%;22%;28%;28%;27%;28%;28%;27%;28%;28%;27%;28%;28%;27%;28%;28%;27%;28%;28%;27%;28%;28%;27%;22%;21%;21%;22%;21%;21%;22%;21%;21%;22%;21%;21%;22%;21%;21%
17;26%;23%;21%;26%;23%;21%;26%;23%;21%;26%;23%;21%;26%;23%;21%;27%;27%;26%;27%;27%;26%;27%;27%;26%;27%;27%;26%;27%;27%;26%;27%;27%;26%;27%;27%;26%;21%;20%;19%;21%;20%;19%;21%;20%;19%;21%;20%;19%;21%;20%;19%
18;25%;22%;20%;25%;22%;20%;25%;22%;20%;25%;22%;20%;25%;22%;20%;26%;25%;25%;26%;25%;25%;26%;25%;25%;26%;25%;25%;26%;25%;25%;26%;25%;25%;26%;25%;25%;20%;19%;18%;20%;19%;18%;20%;19%;18%;20%;19%;18%;20%;19%;18%
19;24%;21%;19%;24%;21%;19%;24%;21%;19%;24%;21%;19%;24%;21%;19%;25%;24%;24%;25%;24%;24%;25%;24%;24%;25%;24%;24%;25%;24%;24%;25%;24%;24%;25%;24%;24%;19%;18%;17%;19%;18%;17%;19%;18%;17%;19%;18%;17%;19%;18%;17%
20;23%;20%;18%;23%;20%;18%;23%;20%;18%;23%;20%;18%;23%;20%;18%;24%;23%;23%;24%;23%;23%;24%;23%;23%;24%;23%;23%;24%;23%;23%;24%;23%;23%;24%;23%;23%;17%;17%;16%;17%;17%;16%;17%;17%;16%;17%;17%;16%;17%;17%;16%
