Cena (USD->EUR kurss uz 2024-10-10);Saite;Kategorija;Marka un modelis;Gads;Valsts;Motorstundas (h);Jauda (zs);Piedziņa/Vilce
6341.05;https://www.mascus.com/agriculture/beet-harvesters/tim-lb5-te-50/bkbuikai.html;beet_harvesters;Tim LB5 TE-50;Netherlands;;;;
3942.57;https://www.mascus.com/agriculture/beet-harvesters/thyregod-t-5-3-rk-en-aldre-model-til-reservedele/eq3sgrcf.html;beet_harvesters;Thyregod T 5 - 3 rk + en ældre model til reservedele;Denmark;;;;
8623.35;https://www.mascus.com/agriculture/beet-harvesters/kleine-k6-erntevorsatz-rubenroder/iqcu7jbr.html;beet_harvesters;Kleine K6 - Erntevorsatz Rübenroder;Germany;1995;;;
233336.26;https://www.mascus.com/agriculture/beet-harvesters/grimme-rexor-620/crbtdf4j.html;beet_harvesters;Grimme REXOR 620;France;2014;4783.0;;
3043.37;https://www.mascus.com/agriculture/beet-harvesters/other-asa-lipt-porkkanannostokone/hs8obj3j.html;beet_harvesters;Asa-Lipt Porkkanannostokone;Finland;;;;
101957.12;https://www.mascus.com/agriculture/beet-harvesters/grimme-maxtron-620/8o7s6oij.html;beet_harvesters;Grimme Maxtron 620;Denmark;2010;6111.0;;
223190.77;https://www.mascus.com/agriculture/beet-harvesters/holmer-terra-dos/3q6kciiu.html;beet_harvesters;Holmer Terra Dos T4;Hungary;2017;5093.0;625.0;
424351.61;https://www.mascus.com/agriculture/beet-harvesters/grimme-maxtron-620-ii/iriuckbn.html;beet_harvesters;Grimme MAXTRON 620 II;Poland;2018;2152.0;;
2692.11;https://www.mascus.com/agriculture/beet-harvesters/thyregod-2-rk/bo9nhhag.html;beet_harvesters;Thyregod 2 rk.;Denmark;1994;;;
81566.43;https://www.mascus.com/agriculture/beet-harvesters/grimme-maxtron-620/9ogjeiis.html;beet_harvesters;Grimme Maxtron 620;Denmark;2008;;;
13458.72;https://www.mascus.com/agriculture/beet-harvesters/ropa-pish-50/gs5fhf8t.html;beet_harvesters;Ropa PISH 50;Denmark;2014;;;
123769.33;https://www.mascus.com/agriculture/beet-harvesters/grimme-evo-290-airsep/6j3g3hgg.html;beet_harvesters;Grimme evo 290 airsep;Germany;2018;;;
27195.52;https://www.mascus.com/agriculture/beet-harvesters/einbock-chopstar/ishgaoaq.html;beet_harvesters;Einböck Chopstar ERS 12-reihig;Germany;2019;;;
39058.0;https://www.mascus.com/agriculture/beet-harvesters/holmer-terra-dos-t2/7o7lghig.html;beet_harvesters;Holmer TERRA-DOS T2;Ukraine;2003;5000.0;460.0;
6341.05;https://www.mascus.com/agriculture/beet-harvesters/other-italo-svizzera-hm-2160-id/ig7s5hgh.html;beet_harvesters;Italo Svizzera HM 2160 id;Austria;1980;5048.0;;
6072.11;https://www.mascus.com/agriculture/beet-harvesters/kleine-unicorn/4hbufsfg.html;beet_harvesters;Kleine UNICORN 18-REIHIG;Germany;;;;
58841.29;https://www.mascus.com/agriculture/beet-harvesters/grimme-maxtron-620-ii/6s9s7qhq.html;beet_harvesters;Grimme Maxtron 620  II, beet harvester, 6-row, 22t tank;Poland;2012;6300.0;530.0;
3576.67;https://www.mascus.com/agriculture/beet-harvesters/edenhall-723/8q4nbkht.html;beet_harvesters;Edenhall 723;Sweden;1996;;;
327684.49;https://www.mascus.com/agriculture/beet-harvesters/grimme-rexor-620/isiheu8l.html;beet_harvesters;Grimme REXOR 620 Radschar FM;Germany;2018;3251.0;;
23110.24;https://www.mascus.com/agriculture/beet-harvesters/agrifac-big-six/6ibpgucs.html;beet_harvesters;Agrifac BIG SIX;Denmark;2000;6847.0;;
45652.43;https://www.mascus.com/agriculture/beet-harvesters/grimme-maxtron-620/ergodl3i.html;beet_harvesters;Grimme Maxtron 620;France;2010;7525.0;;
426091.46;https://www.mascus.com/agriculture/beet-harvesters/grimme-rexor-620/ei4hhq3m.html;beet_harvesters;Grimme REXOR 6200;France;2020;2906.0;;
89.65;https://www.mascus.com/agriculture/beet-harvesters/thyregod-tr/in3obmfs.html;beet_harvesters;Thyregod TR;Sweden;;;;
56896.54;https://www.mascus.com/agriculture/beet-harvesters/grimme-maxtron-620/fuhqethn.html;beet_harvesters;Grimme Maxtron 620;Poland;2013;;;
350003.47;https://www.mascus.com/agriculture/beet-harvesters/grimme-rexor-620/5ugp7ohm.html;beet_harvesters;Grimme REXOR 620 Rüttelschar FT;Germany;2018;3847.0;;
255573.83;https://www.mascus.com/agriculture/beet-harvesters/grimme-maxtron-620-ii/3mit5g3i.html;beet_harvesters;Grimme Maxtron 620 II;Denmark;2016;4300.0;;
123769.33;https://www.mascus.com/agriculture/beet-harvesters/grimme-evo-290-airsep/eu6jhj9s.html;beet_harvesters;Grimme evo 290 airsep;Germany;2018;;;
71015.7;https://www.mascus.com/agriculture/beet-harvesters/ropa-tiger-4/6taqek6q.html;beet_harvesters;Ropa Tiger 4;Lithuania;2004;;;
106522.64;https://www.mascus.com/agriculture/beet-harvesters/grimme-rootster/agdgahej.html;beet_harvesters;Grimme ROOTSTER;France;2013;;;
3956.29;https://www.mascus.com/agriculture/beet-harvesters/gilles-tr14/4r9p6thg.html;beet_harvesters;Gilles TR14;Belgium;2005;;;
20364.16;https://www.mascus.com/agriculture/beet-harvesters/holmer-t2/gg3g9ofn.html;beet_harvesters;Holmer T2;Denmark;1999;;;
294205.55;https://www.mascus.com/agriculture/beet-harvesters/grimme-rexor-620/6lef3o5g.html;beet_harvesters;Grimme REXOR 620soc;France;2017;4597.0;;
15217.78;https://www.mascus.com/agriculture/beet-harvesters/ropa-r26-k/crdl6tgf.html;beet_harvesters;Ropa R26 K;Lithuania;1997;;420.0;
213045.27;https://www.mascus.com/agriculture/beet-harvesters/agrifac-lighttraxx/3q9h4k9h.html;beet_harvesters;Agrifac Lighttraxx;France;2019;2465.0;;
20391.61;https://www.mascus.com/agriculture/beet-harvesters/holmer-t2/4fgg5m9r.html;beet_harvesters;Holmer KRBS T2;Ukraine;1999;10000.0;420.0;
346960.1;https://www.mascus.com/agriculture/beet-harvesters/grimme-rexor-620/8g8k6jau.html;beet_harvesters;Grimme REXOR 620 Rüttelschar Multiwelle;Germany;2018;1763.0;;
294742.51;https://www.mascus.com/agriculture/beet-harvesters/grimme-rexor-620/9ldrem7l.html;beet_harvesters;Grimme REXOR 6200;United Kingdom;2019;3295.0;;
8115.66;https://www.mascus.com/agriculture/beet-harvesters/moreau-lectra-v2/afaf9oco.html;beet_harvesters;Moreau lectra V2;France;2005;6000.0;;
121740.42;https://www.mascus.com/agriculture/beet-harvesters/holmer-terra-dos-t3/6l6m9i5r.html;beet_harvesters;Holmer Terra Dos T3;Hungary;2013;6816.0;521.0;
98406.98;https://www.mascus.com/agriculture/beet-harvesters/holmer-t4-30/dl4phpho.html;beet_harvesters;Holmer T4-30 bietenrooier beet harvester Rübenvollernter;Netherlands;2014;6816.0;;
120725.96;https://www.mascus.com/agriculture/beet-harvesters/grimme-se-280-evo-ub-se280evo/iubodq6h.html;beet_harvesters;Grimme se 280 evo ub se280evo;Germany;2018;499.0;;
18261.15;https://www.mascus.com/agriculture/beet-harvesters/other-ke-3000-h/gpgteubt.html;beet_harvesters;KE 3000 H;Germany;2011;1165.0;;
390583.61;https://www.mascus.com/agriculture/beet-harvesters/grimme-rexor/dh4ffm5s.html;beet_harvesters;Grimme REXOR 6300 Platinum;Germany;2020;2418.0;;
20289.15;https://www.mascus.com/agriculture/beet-harvesters/ropa-r26k/4tirco7m.html;beet_harvesters;Ropa R26K;Lithuania;1997;;;
8115.66;https://www.mascus.com/agriculture/bulb-harvesters/avr-prestige-mc-tt/3jdf6san.html;bulb_harvesters;AVR Prestige MC TT;Belgium;1999;;;
11108.72;https://www.mascus.com/agriculture/bulb-harvesters/wuhlmaus-640-fiat/9s5icjbo.html;bulb_harvesters;Wuhlmaus 640 Fiat;Netherlands;;3712.0;;
96378.06;https://www.mascus.com/agriculture/bulb-harvesters/grimme-se-85-55/5m7o9t3u.html;bulb_harvesters;Grimme SE85-55;Germany;2020;245.0;;
12174.41;https://www.mascus.com/agriculture/bulb-harvesters/grimme-gt-170/atipbt3f.html;bulb_harvesters;Grimme GT 170;Belgium;2007;;;
33083.76;https://www.mascus.com/agriculture/bulb-harvesters/agrifac-wkm-9000/fsffaf5l.html;bulb_harvesters;Agrifac WKM9000;United Kingdom;2004;6000.0;;
5883.67;https://www.mascus.com/agriculture/bulb-harvesters/unia-wega-1400-uno/imgggp8g.html;bulb_harvesters;Unia WEGA 1400 Uno;Belgium;2020;1.0;;
66378.83;https://www.mascus.com/agriculture/bulb-harvesters/other-zocapi-z04/eh9j8l6s.html;bulb_harvesters;Zocapi Z04;Poland;;;;
385511.33;https://www.mascus.com/agriculture/bulb-harvesters/grimme-airsep-290/dn3igj8q.html;bulb_harvesters;Grimme AIRSEP 290;Poland;2023;102.0;;
48189.03;https://www.mascus.com/agriculture/bulb-harvesters/grimme-se-85-55-sb/is3j8phi.html;bulb_harvesters;Grimme SE 85-55 SB;Germany;2007;;;
343031.25;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/9o8r4ndn.html;combine_harvesters;John Deere S780;United States;2022;919.0;;
95591.38;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-680/7m3j8n6h.html;combine_harvesters;John Deere S680;United States;2014;2318.0;;
36132.62;https://www.mascus.com/agriculture/combine-harvesters/case-ih-2388/7ubpdihh.html;combine_harvesters;Case IH 2388;United States;2004;3000.0;;
20581.88;https://www.mascus.com/agriculture/combine-harvesters/case-ih-2388/dsgtfq9m.html;combine_harvesters;Case IH 2388;United States;1998;3878.0;;
100165.12;https://www.mascus.com/agriculture/combine-harvesters/case-ih-8240/diehepeo.html;combine_harvesters;Case IH 8240;United States;2015;1809.0;;
45280.12;https://www.mascus.com/agriculture/combine-harvesters/case-ih-8230/ep5oep9s.html;combine_harvesters;Case IH 8230;United States;2013;3738.0;;
486338.73;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/dr9f6p9m.html;combine_harvesters;John Deere S790;United States;2021;652.0;;
471096.25;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/atcjeicq.html;combine_harvesters;John Deere S780;United States;2023;492.0;;
209935.12;https://www.mascus.com/agriculture/combine-harvesters/john-deere-770/alilii4l.html;combine_harvesters;John Deere S770;United States;2022;770.0;;
45280.12;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9570-sts/bmck5kff.html;combine_harvesters;John Deere 9570 STS;United States;2009;2691.0;;2 WD
777446.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-1100/4q8p4rdh.html;combine_harvesters;John Deere X9 1100;United States;2023;175.0;;
30644.12;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9860-sts/9l5qim7k.html;combine_harvesters;John Deere 9860 STS;United States;2005;5678.0;375.0;4 WD
320071.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/ek4hbpcp.html;combine_harvesters;John Deere S780;United States;2021;1352.0;;
77296.38;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-690/bpgqanbf.html;combine_harvesters;John Deere S690;United States;2013;2268.0;;
123399.77;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-680/bfbfas8m.html;combine_harvesters;John Deere S680;United States;2017;2038.0;;2 WD
100165.12;https://www.mascus.com/agriculture/combine-harvesters/case-ih-8240/5neoifas.html;combine_harvesters;Case IH 8240;United States;2015;1762.0;;
118460.12;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/7f8pfgeo.html;combine_harvesters;John Deere S780;United States;2018;1769.0;;
59458.75;https://www.mascus.com/agriculture/combine-harvesters/case-ih-8230/8f9ifj5p.html;combine_harvesters;Case IH 8230;United States;2012;4542.0;450.0;4 WD
91383.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-670/9t9jil7i.html;combine_harvesters;John Deere S670;United States;2014;2347.0;;2 WD
196671.25;https://www.mascus.com/agriculture/combine-harvesters/case-ih-8240/ckcigrih.html;combine_harvesters;Case IH 8240;United States;2015;1800.0;;
6860.62;https://www.mascus.com/agriculture/combine-harvesters/case-ih-2155/ef9lgf4j.html;combine_harvesters;Case IH 2155;United States;1995;6517.0;266.0;2 WD
5397.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-3300/cf5hdqcl.html;combine_harvesters;John Deere 3300;United States;1975;2400.0;;
31558.88;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9660-sts/goctftii.html;combine_harvesters;John Deere 9660 STS;United States;2006;2892.0;;
346690.25;https://www.mascus.com/agriculture/combine-harvesters/case-ih-8250/5hdmdrbk.html;combine_harvesters;Case IH 8250;United States;2020;785.0;;
342939.77;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/4g9g5mhj.html;combine_harvesters;John Deere S790;United States;2019;1542.0;;
73088.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9870-sts/7rhg3rdu.html;combine_harvesters;John Deere 9870 STS;United States;2011;3360.0;;2 WD
379621.25;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/ihcg9i8r.html;combine_harvesters;John Deere S780;United States;2022;898.0;;
90257.47;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-680/gueu8u9n.html;combine_harvesters;John Deere S680;United States;2013;3007.0;;
69886.9;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9760-sts/ip7p6mhf.html;combine_harvesters;John Deere 9760 STS;United States;2005;3549.0;;
223656.38;https://www.mascus.com/agriculture/combine-harvesters/case-ih-8250/gmblgfat.html;combine_harvesters;Case IH 8250;United States;2020;820.0;;4 WD
686786.07;https://www.mascus.com/agriculture/combine-harvesters/john-deere-790/dsakekch.html;combine_harvesters;John Deere S790;United States;2023;330.0;;
612791.03;https://www.mascus.com/agriculture/combine-harvesters/john-deere-1100/7taoep8r.html;combine_harvesters;John Deere X9 1100;United States;2023;421.0;;
552340.69;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/5uboagbs.html;combine_harvesters;John Deere S780;United States;2023;418.0;;
16008.12;https://www.mascus.com/agriculture/combine-harvesters/other-amity-sm986/apboggci.html;combine_harvesters;Amity SM986;United States;1996;;;
6860.62;https://www.mascus.com/agriculture/combine-harvesters/case-ih-2155/3udugodt.html;combine_harvesters;Case IH 2155;United States;1995;8184.0;266.0;2 WD
384103.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/3u7sch4r.html;combine_harvesters;John Deere S780;United States;2022;615.0;;
128065.0;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-680/dlfj3qcn.html;combine_harvesters;John Deere S680;United States;2013;3180.0;;
100531.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-680/8p7k3thl.html;combine_harvesters;John Deere S680;United States;2013;2906.0;;2 WD
73006.2;https://www.mascus.com/agriculture/combine-harvesters/case-ih-7120/dgijfs7i.html;combine_harvesters;Case IH 7120;United States;2009;3719.0;;2 WD
278541.38;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/7laten4t.html;combine_harvesters;John Deere S780;United States;2021;585.0;;
42535.88;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9996/4far4lhq.html;combine_harvesters;John Deere 9996;United States;2007;2876.0;350.0;2 WD
371297.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-770/7j8o8peu.html;combine_harvesters;John Deere S770;United States;2021;670.0;;2 WD
42535.88;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9996/em4l8r4u.html;combine_harvesters;John Deere 9996;United States;2007;6102.0;350.0;2 WD
347703.79;https://www.mascus.com/agriculture/combine-harvesters/john-deere-78/bfds4g6g.html;combine_harvesters;John Deere S780;United States;2021;1244.0;;
6860.62;https://www.mascus.com/agriculture/combine-harvesters/case-ih-2155/3rgi5hhs.html;combine_harvesters;Case IH 2155;United States;1995;7067.0;266.0;2 WD
530463.53;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9100/8piuht3j.html;combine_harvesters;John Deere X9 1000;United States;2023;429.0;;2 WD
5397.02;https://www.mascus.com/agriculture/combine-harvesters/john-deere-6620-titan-ii/6tai6neu.html;combine_harvesters;John Deere 6620 TITAN II;United States;1986;3223.0;;
109770.0;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-680/arfoafcq.html;combine_harvesters;John Deere S680;United States;2014;3306.0;;
2286.88;https://www.mascus.com/agriculture/combine-harvesters/feterl-10x66/3ufsds8h.html;combine_harvesters;Feterl 10X66;United States;;;;
16008.12;https://www.mascus.com/agriculture/combine-harvesters/claas-c508/hsgp3f3n.html;combine_harvesters;CLAAS C508;United States;2009;;;
420693.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9100/8pikircu.html;combine_harvesters;John Deere X9 1000;United States;2021;930.0;;
127973.52;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-680/er5ieifi.html;combine_harvesters;John Deere S680;United States;2015;2349.0;;2 WD
302882.87;https://www.mascus.com/agriculture/combine-harvesters/john-deere-770/9maqai4t.html;combine_harvesters;John Deere S770;United States;2020;1041.0;;
42535.88;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9996/6jeidk7h.html;combine_harvesters;John Deere 9996;United States;2007;5898.0;350.0;2 WD
274425.0;https://www.mascus.com/agriculture/combine-harvesters/john-deere-t-660/5nci7jes.html;combine_harvesters;John Deere T660;United States;2018;448.0;;
9056.02;https://www.mascus.com/agriculture/combine-harvesters/massey-ferguson-850/it7l3shm.html;combine_harvesters;Massey Ferguson 850;United States;1985;3061.0;;
69063.62;https://www.mascus.com/agriculture/combine-harvesters/john-deere-s-670/dr8n3sgo.html;combine_harvesters;John Deere S670;United States;2012;1734.0;;
45280.12;https://www.mascus.com/agriculture/combine-harvesters/case-ih-8120/fq9scg7u.html;combine_harvesters;Case IH 8120;United States;2009;2901.0;;
34303.12;https://www.mascus.com/agriculture/combine-harvesters/john-deere-9860-sts/4hbr8g8t.html;combine_harvesters;John Deere 9860 STS;United States;2007;3390.0;;4 WD
