sep=;
category;technical_unit;mark;model;equipment_level;eps_lad_number;price;source;metadata
Traktori;Lauksaimniecības traktors;FENDT;512 VARIO;Premium;TR-01-0000086;150500.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=2474&page=1;{'aprikojuma_apraksts': '4.0 L dzinējs, Priekšējā tilta amortizācija, Kabīnes amortizācija, Priekšējā uzkare, 12 collu vadības terminālis, Bākuguns, Darba apgaismojuma komplekts, ISOBUS savienojums, Automātiskā stūrēšanas sistēma', 'dzinejs_jauda_zs': 124.0, 'dzinejs_cilindru_skaits': 4.0, 'ritenu_formula': 'kāpurķēžu', 'transmisija_parnesumu_skaits_uz_prieksu': 0.0, 'transmisija_parnesumu_skaits_atpakal': 0.0, 'transmisija_bezpakapju': 'Jā', 'hidrosukna_razigums_l_min': 158.0, 'uzkares_celtspeja_kg': 8045.0}
Sējas un stādāmā tehnika;Sējmašīna;NOVAG;TFORCE 450 (21);Vidējais;ST-01-0000263;171110.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=3171&page=1;{'aprikojuma_apraksts': '19cm rindstarpa, 21 sējaparāti, tvertnes tilpums 4200 litri, minerālmēslu iestrāde, individuālā sējaparātu dziļuma kontrole, vadības terminālis, individuāls hidrocilindrs katram sējaparātam, tents, zemspiediena transporta riteņi, hidrauliski regulējama dīstele, dubļusargi, tehnoloģiskā sliede, papildus sīksēklu tvertne, Sēklas plūsmas sensori uz vienas galvas.', 'darba_platums_m': 4.0, 'nepieciesama_maksimala_traktora_jauda_zs': 210.0, 'tvertnes_tilpums_l_seklas': 2000.0, 'tvertnes_tilpums_l_mineralmeslu': 2200.0, 'darbibas_princips': 'mehāniskā', 'sesanas_iespejas': ['sēkla', 'min. mēsli', 'sīksēklu aprīkojums'], 'pievienosanas_veids_traktoram': 'piekabināma'}
Sējas un stādāmā tehnika;Sējmašīna;NOVAG;TFORCE 450 (16);Vidējais;ST-01-0000262;157595.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=3170&page=1;{'aprikojuma_apraksts': '25cm rindstarpa, 16 sējaparāti, tvertnes tilpums 4200 litri, minerālmēslu iestrāde, individuālā sējaparātu dziļuma kontrole, vadības terminālis, individuāls hidrocilindrs katram sējaparātam, tents, zemspiediena transporta riteņi, hidrauliski regulējama dīstele, dubļusargi, tehnoloģiskā sliede, papildus sīksēklu tvertne, Sēklas plūsmas sensori uz vienas galvas.', 'darba_platums_m': 4.0, 'nepieciesama_maksimala_traktora_jauda_zs': 160.0, 'tvertnes_tilpums_l_seklas': 2000.0, 'tvertnes_tilpums_l_mineralmeslu': 2200.0, 'darbibas_princips': 'mehāniskā', 'sesanas_iespejas': ['sēkla', 'min. mēsli', 'sīksēklu aprīkojums'], 'pievienosanas_veids_traktoram': 'piekabināma'}
Lopbarības sagatavošanas tehnika;Pļaujmašīna;FENDT;SLICER 360 FQ KC;Vidējais;LS-02-0000289;20000.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=4676&page=1;{'aprikojuma_apraksts': 'Septiņi griešanas diski, PTO vārpsta, Sakabe, Pārslodzes sajūgs, Aizsargvāki, Ātri maināmā nažu sistēma, Hidrauliska salikšana transporta stāvoklī,  Zaru tipa kondicionieris', 'darba_platums_m': 3.62, 'nepieciesama_maksimala_traktora_jauda_zs': 150.0, 'griezejaparata_veids': 'izkapts', 'tips': 'nezāļu', 'pievienosanas_veids_traktoram': 'pašgājēja', 'zales_apstrade': 'bez zāles apstrādes'}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Transportieris;PRECO;E50 20M 60;Premium;RP-05-0000048;10815.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=4936&page=1;{'aprikojuma_apraksts': 'Norijas garums 20 m 60 t/h. Piedziņas sekcija ar reduktormotoru 7.5 kW, norijas lenta ar kausiņiem, norijas kājas, spriegošanas sekcija, bremze, atpakaļsensors, iebires piltuve, izbire uz D200, servisa platforma, kāpnes ar drošības režģi, kāpnes, motora aizsargs, eļļas izturīga lenta, montāža.', 'tips': 'Pašgājējs', 'darba_razigums_t_h': 60.0, 'piemerots_glabatuves_ietilpibai_t': 6000.0}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Transportieris;PRECO;E50 14M 40;Bāzes;RP-05-0000050;8966.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=5328&page=1;{'aprikojuma_apraksts': 'Norijas garums 14 m 40 t/h. Piedziņas sekcija ar reduktormotoru 3 kW, norijas lenta ar kausiņiem, norijas kājas, spriegošanas sekcija, bremze, atpakaļsensors, iebires piltuve, izbire uz D200, Norijas platforma, trepes no zemes, 2-plūsmu dalītājs, graudu trubas, skavas, līkumi.', 'tips': 'Pašgājējs', 'darba_razigums_t_h': 40.0, 'piemerots_glabatuves_ietilpibai_t': 4000.0}
Fermu aprīkojums un iekārtas;Dzīvnieku barošanas iekārta;FARESIN;TWINNER 1600;Vidējais;FA-04-0000100;34060.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=4180&page=1;{'aprikojuma_apraksts': 'Vertikāls. Grīdas biezums 15mm, sienu biezums 6mm. Garšķiedras gliemežmaisītāji, vītņu skaits-3, diametrs-1,65m, spirāles biezums 20mm (S355 tērauds). Griezējnažu skaits 2x10. Maks.iekraušanas svars 5600kg. Reduktros 2 ātrumu 19/34 rpm pie 540 PTO. Vadība ar traktora hidrovadību-2 pāri. Svaru sistēma 3-ptu. Svaru displejs IFG M 15/15. Izlāde-LB priekšā un KR aizmugurē hidr.vadāma. Ass-1, riteņi 385/65 R22,5. Maks.ātrums 8km/h. Platleņķa jūgvārpsta.', 'nepieciesama_maksimala_traktora_jauda_zs': 110.0, 'elektromotora_jauda_kw': 0, 'tilpums_m3': 16.0, 'maisitaju_skaits': 2.0, 'gabariti_m_augstums': 2.89, 'gabariti_m_platums': 2.41, 'gabariti_m_garums': 6.6, 'tips': 'pašgājējs'}
Sējas un stādāmā tehnika;Sējmašīna;NOVAG;T-FORCE 650 (32);Premium;ST-01-0000617;262200.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=6728&page=1;{'aprikojuma_apraksts': 'No-Till sējas tehnoloģijas sējmašīna. 19cm rindstarpa, 32 sējaparāti, tvertnes tilpums 5400 litri, minerālmēslu iestrāde, individuālā sējaparātu dziļuma kontrole, vadības terminālis, individuāls hidrocilindrs katram sējaparātam, tvertnes pārsegs, zemspiediena transporta riteņi, hidrauliski regulējama dīstele, dubļusargi, spiediens uz sējaparātiem līdz 500kg, papildus sīksēklu tvertne, sēklas plūsmas sensori uz vienas galvas, Mainīgās izsējas devas parīkojums pēc lauku kartēm ar GPS.', 'darba_platums_m': 6.0, 'nepieciesama_maksimala_traktora_jauda_zs': 300.0, 'tvertnes_tilpums_l_seklas': 2500.0, 'tvertnes_tilpums_l_mineralmeslu': 2900.0, 'darbibas_princips': 'mehāniskā', 'sesanas_iespejas': ['sēkla', 'min. mēsli', 'sīksēklu aprīkojums'], 'pievienosanas_veids_traktoram': 'piekabināma'}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Graudu tīrītājs;KHMZ;BSH-200;Vidējais;RP-04-0000028;47500.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=6093&page=1;{'aprikojuma_apraksts': 'Divu sietu tipa tīrītājs, padeves tvertne ar dozējošo rulli, divi cikloni ar slūžu vārstu un diviem 6.3 kW ventilātoriem, gaisa caurules savienošanai cikloniem ar tīrītāju', 'elektromotora_jauda_kw': 2.95, 'darba_razigums_kviesiem_t_h': 200.0, 'maksimala_gaisa_plusma_m3_min': 17000.0, 'sijasanas_laukums_m2': 12.0, 'izmeri_m_garums': 3.83, 'izmeri_m_platums': 3.11, 'izmeri_m_augstums': 2.95}
Lauksaimniecības produkcijas pirmapstrādes un uzglabāšanas tehnika;Graudu tīrītājs;KHMZ;BSH-100;Vidējais;RP-04-0000024;24950.0;https://eps.lad.gov.lv/show_etk_public?action=index&controller=catalog_entries_public&id=6067&page=1;{'aprikojuma_apraksts': 'Divu līmeņu sietu tipa tīrītājs, padeves tvetne ar dozatora rulli, PRECO 4.0 kw ventilātors ar ciklonu, 2 gb. BSH-100.08.000 pneimokanali ar 2 gb. PRECO 4.0 kw  2gb.ventilātoriem un  2gb. cikloniem PPA100.C, 24 gb. papildus rāmji ar sietiem.', 'elektromotora_jauda_kw': 1.5, 'darba_razigums_kviesiem_t_h': 80.0, 'maksimala_gaisa_plusma_m3_min': 8500.0, 'sijasanas_laukums_m2': 6.0, 'izmeri_m_garums': 3.4, 'izmeri_m_platums': 2.51, 'izmeri_m_augstums': 2.8}
