plough;harrow;cultivator;row_cultivator;seed_drill;planter;packing_press;balling_press;other
47;61;61;61;65;65;56;56;69
44;54;54;54;60;60;50;50;62
42;49;49;49;56;56;46;46;56
40;45;45;45;53;53;42;42;52
39;42;42;42;50;50;39;39;48
38;39;39;39;48;48;37;37;45
36;36;36;36;46;46;34;34;42
35;34;34;34;44;44;32;32;40
34;31;31;31;42;42;30;30;37
33;30;30;30;40;40;28;28;35
32;28;28;28;39;39;27;27;33
32;26;26;26;38;38;25;25;31
31;24;24;24;36;36;24;24;29
30;23;23;23;35;35;22;22;28
29;22;22;22;34;34;21;21;26
29;20;20;20;33;33;20;20;25
28;19;19;19;32;32;19;19;24
27;18;18;18;30;30;18;18;22
27;17;17;17;29;29;17;17;21
26;16;16;16;29;29;16;16;20
